FID;rate_5;rate_10;rate_25;rate_50;rate_100;rate_300;rate_500;rate_1000;rate_2000;ari10;ari50;ari100;ari200;ari500;ari1000;ari2500;ari500P;ari500M;ari500LL;ari500ZL;POINT_X;POINT_Y
61;0.012651216047508;0.006652330900754;0.002310491314933;0.000892622365327;0.000304574029795;0.000045558559625;0.000017153058158;0.000003753736852;0.000000585885058;0.100000000000000;0.100000000000000;0.100000000000000;0.130695314148199;0.279016693816516;0.461616045830101;0.843438865028671;0.631622344400039;0.100000000000000;0.197105001231564;0.172273110538029;-23.871625900300000;64.648941039999997
62;0.011991529726801;0.006316150276314;0.002186626499225;0.000831200417701;0.000273855773062;0.000037869236357;0.000013660384285;0.000002781608366;0.000000397082585;0.100000000000000;0.100000000000000;0.100000000000000;0.124503803363375;0.267159873892997;0.440600450573836;0.795302825266878;0.613075423726144;0.100000000000000;0.190846265516371;0.177468338817844;-24.168138504000002;64.795585632300003
63;0.008854939567631;0.004334406272774;0.001367247051328;0.000489568944109;0.000155117658059;0.000019569594035;0.000006362608406;0.000001060255035;0.000000119226791;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.188217500243208;0.311572486381910;0.567164428396015;0.423643533374471;0.100000000000000;0.133443214917803;0.118827648838927;-23.904808044399999;64.945816039999997
64;0.010716018568900;0.005545553601765;0.001897713611291;0.000721467412507;0.000240631289240;0.000036364520918;0.000014140064354;0.000003231372827;0.000000518095085;0.100000000000000;0.100000000000000;0.100000000000000;0.110018666067567;0.239784913112658;0.399946972827779;0.731547425496656;0.567211413067937;0.100000000000000;0.173009209856796;0.149967747106157;-23.486656189000001;64.987487793000000
65;0.009245468530825;0.004676944448181;0.001580410896231;0.000600295307139;0.000200814630797;0.000029620811307;0.000011008441384;0.000002294900925;0.000000329548179;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.207490924079806;0.350458686956892;0.651245962357923;0.479701919973401;0.100000000000000;0.150543552647167;0.133131864898760;-23.341667175300000;65.139640808099998
66;0.007742116482797;0.003713163592138;0.001146275905193;0.000399424793724;0.000121919058959;0.000014926653609;0.000004852404094;0.000000804585375;0.000000088780424;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.165544215131977;0.274509470997141;0.498938805553069;0.375982572804109;0.100000000000000;0.118602826019543;0.110692560881360;-23.760709762600001;65.113983154300001
67;0.009131594553577;0.004569278251444;0.001486949571951;0.000534961435248;0.000166785818934;0.000022166403690;0.000007932122663;0.000001572514075;0.000000213267886;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.199522435988043;0.330771101072830;0.597738800017791;0.440900509262917;0.100000000000000;0.144110103827494;0.136650756538968;-24.181978225700000;65.088890075699993
68;0.010890603567183;0.005632955768164;0.001910019674802;0.000713864472432;0.000231028576266;0.000030961719020;0.000010976160462;0.000002181037195;0.000000303625964;0.100000000000000;0.100000000000000;0.100000000000000;0.111562779962074;0.241070548801848;0.398790401088063;0.720690027911783;0.546504707225498;0.100000000000000;0.172961866142143;0.152825014837814;-24.376672744800000;65.112480163599997
69;0.011459802311708;0.006083884382307;0.002137316406794;0.000821247683720;0.000272176910714;0.000036296540598;0.000012593478193;0.000002428778347;0.000000331520781;0.100000000000000;0.100000000000000;0.100000000000000;0.120526389106810;0.262701850170716;0.436429257288574;0.791834644605251;0.587023692890918;0.100000000000000;0.189085903257021;0.174555413707797;-24.734645843500001;65.184638977099993
70;0.014359315948539;0.008275602691865;0.003222737949221;0.001324142994302;0.000461011555913;0.000063987057275;0.000023103877999;0.000004993036473;0.000000808988195;0.100000000000000;0.100000000000000;0.100000000000000;0.167947577896818;0.367399709684053;0.606636179490401;1.087522087136500;0.808789438994880;0.100000000000000;0.265676356190664;0.239496143823082;-24.896318435700000;65.387954711899994
71;0.013496325739280;0.007599383122602;0.002863385764379;0.001162712100276;0.000413801876437;0.000066699961105;0.000026902851308;0.000006809069206;0.000001282557912;0.100000000000000;0.100000000000000;0.100000000000000;0.152085365721188;0.333113335270228;0.555739673659238;1.020613065697275;0.735993160809680;0.100000000000000;0.237948643344680;0.212105917689986;-24.904195785500001;65.607070922899993
72;0.009581905776042;0.004956232178149;0.001697245777070;0.000644874800290;0.000214095589928;0.000029419319046;0.000010272462319;0.000001952315309;0.000000256842157;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.219583732651355;0.369052364414949;0.681287872282870;0.500862682000728;0.100000000000000;0.159050707278260;0.142304247784705;-24.752223968500001;65.814476013199993
73;0.009086548308117;0.004667663549256;0.001588434494658;0.000610012238536;0.000211216559958;0.000032420661981;0.000011833181942;0.000002349892831;0.000000319663841;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.208205609830433;0.352607518834834;0.663016250608124;0.476417800784218;0.100000000000000;0.149476350351394;0.134392728653274;-24.478548049899999;65.979194641099994
74;0.008572499635406;0.004268070128961;0.001370914344278;0.000494379709082;0.000156590918456;0.000019973580198;0.000006628060023;0.000001147278377;0.000000134424121;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.187894850107535;0.312787615613569;0.570694983242127;0.414280861319988;0.100000000000000;0.134323593465829;0.118232816671012;-24.227416992199998;66.154190063499996
